file,set,triage_depth,verdict,toplevel_body,name_ref_count,name_ref_example,last_commit,writes_figure,writes_data,why
scripts/pipelines/tracking/_subject_paths.py,no-output,coarse,shared-module,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/make_state_tables.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/render_curation_sheets.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/tests/test_ae_smoke.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/tests/test_deepum_common.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/tests/test_deepum_smoke.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/tests/test_eval_assembly.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/pipelines/tracking/train_deepum_common.py,no-output,coarse,shared-module,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/qc/check_refactor_guardrails.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/qc/repair_session_ids.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/rebuild_tf_cache.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/state_labeling/calibrate_states.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/state_labeling/run_state_labeler.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/state_labeling/validate_states.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/talk_substrate/fig_c2_changesize.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/talk_substrate/fig_c3_fa_timing.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/talk_substrate/fig_c_outcome.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/talk_substrate/fig_d_state.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tf_labeling/run_labeling_gui.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tf_responsiveness/cluster/verify_lean_import.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tf_responsiveness/cluster_bg/verify_lean_import_bg.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tf_responsiveness/preparatory_fig5/licktime_shuffle_control.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tf_responsiveness/preparatory_fig5/prep_common.py,no-output,coarse,shared-module,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tf_responsiveness/state_conditioned/continuum_common.py,no-output,coarse,shared-module,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tracking_consensus/write_readme.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tracking_dant/adapter.py,no-output,coarse,shared-module,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tracking_dant/registry.py,no-output,coarse,shared-module,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/tracking_dant/run_dant_bg046.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/update_analysis_imports.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/utils/png_viewer.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/video/_tagger_ui.py,no-output,coarse,shared-module,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/video/fit_sync.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/video/sync_status.py,no-output,coarse,entry-point,defs-only,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
scripts/video/tag_session.py,no-output,coarse,entry-point,work,,,,False,False,coarse: census columns only (in_degree/has_main/has_argparse)
